REGIONC,DIVISION,METROMICRO,UATYP10,TYPEHUQ,CELLAR,BASEFIN,ATTIC,ATTICFIN,STORIES,PRKGPLC1,KOWNRENT,YEARMADERANGE,TOTROOMS,NCOMBATH,NHAFBATH,WALLTYPE,ROOFTYPE,DRAFTY,RECBATH,MONTUB,TVCOLOR,TVSIZE1,TVONWD1,TVONWE1,FUELHEAT,TEMPHOME,TEMPGONE,TEMPNITE,MOISTURE,USEMOISTURE,AIRCOND,COOLTYPE,AGECENAC,TEMPHOMEAC,TEMPGONEAC,TEMPNITEAC,BASECOOL,ATTCCOOL,GARGCOOL,NUMCFAN,NOTMOIST,HHSEX,HHAGE,EMPLOYHH,EDUCATION,NUMADULT,NUMCHILD,ATHOME,MONEYPY,ENERGYASST,CDD65,CLIMATE_REGION_PUB,HDD65,KWH,KWHTV1,KWHHTBPMP,KWHHTBHEAT,DOLLAREL,DOLELTV1,DOLELHTBPMP,DOLELHTBHEAT,CUFEETNG,DOLLARNG,GALLONLP,GALLONFO,TOTALDOL,WOODAMT
West,Pacific,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,One story,Yes,Owned or being bought by someone in your household,1960 to 1969,7,2,0,Wood,Shingles (composition or asphalt),Some of the time,No,NA,1,40 to 59 inches,1 to 3 hours,4 to 6 hours,Natural gas from underground pipes,68,66,66,No,NA,Yes,Central air conditioning system,15 to 19 years old,72,76,74,Not applicable,Not applicable,No,1,No,Female,49,Employed full-time,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",2,0,0,"$140,000 or more",No,1787,Hot-Dry/Mixed-Dry,1956,9687.156,119.681,0,0,1318.31,16.26,0,0,403.7,556.13,0,0,1874.44,NA
Northeast,New England,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1980 to 1989,4,1,0,Brick,Not applicable,Never,No,NA,1,28 to 39 inches,More than 10 hours,7 to 10 hours,Electricity,67,64,67,No,NA,Yes,Central air conditioning system,20 years or older,71,75,71,Not applicable,Not applicable,Not applicable,0,No,Male,24,Employed full-time,"Bachelor’s degree (for example: BA, BS)",2,1,5,"$60,000 to $79,999",No,768,Cold/Very Cold,6404,5730.847,264.723,0,0,1202.6,55.55,0,0,0,0,0,0,1202.6,NA
West,Pacific,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,Three stories,Yes,Owned or being bought by someone in your household,1980 to 1989,7,4,1,Wood,Shingles (composition or asphalt),Some of the time,No,NA,3,60 inches or more,1 to 3 hours,1 to 3 hours,Natural gas from underground pipes,65,66,65,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,2,No,Male,62,Employed part-time,"Bachelor’s degree (for example: BA, BS)",2,0,2,"$140,000 or more",No,315,Marine,1958,8934.666,177.53,0,0,2198.83,43.6,0,0,328.523,431.98,0,0,2630.8,NA
Northeast,New England,METRO,U,Single-family detached house,Yes,Yes,No,Not applicable,Two stories,Yes,Owned or being bought by someone in your household,1980 to 1989,6,2,1,Siding,Shingles (composition or asphalt),Some of the time,No,NA,1,28 to 39 inches,Less than 1 hour,Less than 1 hour,Fuel oil/kerosene,65,56,65,No,NA,Yes,Individual window/wall or portable units,Not applicable,78,85,74,No,Not applicable,No,0,No,Male,30,Employed full-time,"Bachelor’s degree (for example: BA, BS)",2,1,5,"$80,000 to $99,999",No,900,Cold/Very Cold,6199,3104.036,14.929,0,0,681.68,3.28,0,0,285.39,613.61,0,188.493,1615.54,NA
West,Pacific,METRO,R,Single-family attached house,No,Not applicable,No,Not applicable,Three stories,Yes,Rented,2010 to 2015,3,2,1,Siding,Shingles (composition or asphalt),Never,No,NA,2,28 to 39 inches,1 to 3 hours,1 to 3 hours,Electricity,65,55,55,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,0,No,Male,25,Employed full-time,Some college or Associate’s degree,2,0,0,"$100,000 to $119,999",No,213,Marine,4355,7719.832,52.493,0,0,783.04,5.32,0,0,0,0,0,0,783.04,NA
South,South Atlantic,METRO,U,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Rented,1970 to 1979,6,1,1,Brick,Metal,Never,No,NA,4,40 to 59 inches,4 to 6 hours,4 to 6 hours,Electricity,78,78,78,No,NA,Yes,Central air conditioning system,5 to 9 years old,75,75,75,Not applicable,No,No,2,No,Female,30,Employed full-time,High school diploma or GED,1,5,0,"Less than $20,000",No,2144,Mixed-Humid,2464,26326.341,190.675,0,0,2696.14,19.51,0,0,0,0,0,0,2696.14,NA
South,West South Atlantic,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,One story,No,Owned or being bought by someone in your household,1960 to 1969,6,2,0,Brick,Wood shingles/shakes,Never,No,NA,2,40 to 59 inches,4 to 6 hours,4 to 6 hours,Electricity,70,80,80,No,NA,Yes,Central air conditioning system,15 to 19 years old,70,70,70,Not applicable,Not applicable,Not applicable,2,No,Female,33,Not employed/retired,Less than high school diploma or GED,3,2,1,"$60,000 to $79,999",No,3454,Hot-Humid,1141,23277.278,234.763,0,0,2591.06,26.11,0,0,0,0,0,0,2591.06,NA
South,West South Atlantic,METRO,R,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Owned or being bought by someone in your household,1960 to 1969,7,2,0,Brick,Shingles (composition or asphalt),Never,No,NA,2,40 to 59 inches,4 to 6 hours,4 to 6 hours,Natural gas from underground pipes,70,68,68,No,NA,Yes,Central air conditioning system,10 to 14 years old,70,70,70,Not applicable,No,No,4,No,Male,63,Not employed/retired,High school diploma or GED,2,0,5,"$20,000 - $39,999",No,3119,Hot-Humid,1338,12389.232,189.935,0,0,1196.77,18.32,0,0,424.88,486,0,0,1682.77,NA
Midwest,East North Central,METRO,R,Single-family detached house,Yes,Yes,No,Not applicable,One story,Yes,Occupied without payment of rent,1970 to 1979,3,1,0,Siding,Shingles (composition or asphalt),Never,No,NA,1,40 to 59 inches,7 to 10 hours,7 to 10 hours,Electricity,70,70,70,No,NA,Yes,Individual window/wall or portable units,Not applicable,72,74,72,No,Not applicable,No,0,Yes,Male,85,Not employed/retired,High school diploma or GED,2,0,5,"Less than $20,000",No,617,Cold/Very Cold,6202,23652.302,388.48,0,0,2243.38,36.82,0,0,0,0,0,0,2243.38,0.7
Northeast,Middle Atlantic,METRO,R,Single-family detached house,Yes,No,Yes,No,Two stories,Yes,Owned or being bought by someone in your household,2010 to 2015,9,3,0,Siding,Shingles (composition or asphalt),Never,No,NA,3,27 inches or less,4 to 6 hours,7 to 10 hours,Propane (bottled gas),68,65,68,No,NA,Yes,Central air conditioning system,5 to 9 years old,70,72,70,No,No,No,6,No,Female,42,Not employed/retired,Some college or Associate’s degree,2,3,5,"$40,000 - $59,999",No,406,Cold/Very Cold,7088,12756.136,81.303,0,0,1367.2,8.7,0,0,0,0,1309.243,0,4065.67,NA
South,West South Atlantic,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,One story,Yes,Owned or being bought by someone in your household,Before 1950,6,1,0,Siding,Shingles (composition or asphalt),All the time,No,NA,2,40 to 59 inches,4 to 6 hours,7 to 10 hours,Electricity,75,50,70,No,NA,Yes,Individual window/wall or portable units,Not applicable,90,90,90,Not applicable,Not applicable,No,2,No,Male,71,Not employed/retired,High school diploma or GED,1,0,5,"Less than $20,000",Yes,3318,Hot-Humid,1431,5454.763,276.681,0,0,520.85,26.33,0,0,181.958,187.41,0,0,708.26,NA
Midwest,East North Central,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,One story,No,Owned or being bought by someone in your household,Before 1950,5,1,0,Siding,Shingles (composition or asphalt),Never,No,NA,2,40 to 59 inches,4 to 6 hours,1 to 3 hours,Natural gas from underground pipes,73,65,70,No,NA,Yes,Central air conditioning system,15 to 19 years old,72,76,72,Not applicable,Not applicable,Not applicable,3,No,Male,49,Employed full-time,Some college or Associate’s degree,1,1,0,"$80,000 to $99,999",No,1211,Cold/Very Cold,4904,8265.477,160.05,0,0,1029.17,19.89,0,0,401.833,478.02,0,0,1507.18,NA
Northeast,New England,MICRO,R,Single-family detached house,Yes,No,Yes,No,Two stories,Yes,Owned or being bought by someone in your household,1980 to 1989,5,1,1,Wood,Shingles (composition or asphalt),Some of the time,No,NA,1,27 inches or less,4 to 6 hours,7 to 10 hours,Fuel oil/kerosene,66,60,60,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,0,Yes,Male,67,Not employed/retired,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",1,0,5,"$100,000 to $119,999",No,343,Cold/Very Cold,7943,2716.328,200.704,0,0,606.9,44.55,0,0,0,0,6.835,656.42,2286.57,NA
Midwest,West North Central,NONE,R,Single-family detached house,No,Not applicable,No,Not applicable,One story,Yes,Owned or being bought by someone in your household,2010 to 2015,6,2,0,Siding,Shingles (composition or asphalt),Never,No,NA,2,40 to 59 inches,4 to 6 hours,7 to 10 hours,Electricity,71,71,71,No,NA,Yes,Central air conditioning system,Less than 2 years old,73,78,73,Not applicable,Not applicable,No,1,No,Female,55,Employed full-time,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",2,0,5,"$120,000 to $139,999",No,400,Cold/Very Cold,8124,22876.274,225.259,0,0,1659.3,16.33,0,0,0,0,124.741,0,1833.82,NA
West,Pacific,METRO,U,Single-family attached house,No,Not applicable,Yes,No,Two stories,No,Owned or being bought by someone in your household,1980 to 1989,4,1,1,Shingle (composition),Wood shingles/shakes,Most of the time,No,NA,1,40 to 59 inches,4 to 6 hours,7 to 10 hours,Electricity,72,68,68,No,NA,Yes,Central air conditioning system,20 years or older,74,80,70,Not applicable,No,Not applicable,4,No,Female,42,Employed full-time,Some college or Associate’s degree,1,0,0,"$60,000 to $79,999",No,1523,Hot-Dry/Mixed-Dry,689,3070.259,217.795,0,0,418.06,29.48,0,0,113.501,169.72,0,0,587.78,NA
South,West South Atlantic,METRO,U,Single-family attached house,No,Not applicable,Yes,No,One story,Yes,Owned or being bought by someone in your household,1970 to 1979,8,2,1,Brick,Shingles (composition or asphalt),Never,No,NA,1,40 to 59 inches,4 to 6 hours,7 to 10 hours,Natural gas from underground pipes,70,68,68,No,NA,Yes,Central air conditioning system,5 to 9 years old,76,78,77,Not applicable,No,No,5,No,Male,31,Employed full-time,"Bachelor’s degree (for example: BA, BS)",2,4,5,"$60,000 to $79,999",No,2954,Hot-Humid,2132,9553.753,225.577,0,0,1701.75,40.1,0,0,552.8,601.29,0,0,2303.04,NA
South,East South Atlantic,NONE,R,Single-family detached house,No,Not applicable,No,Not applicable,One story,Yes,Owned or being bought by someone in your household,1970 to 1979,9,2,0,Brick,Metal,Some of the time,No,NA,2,40 to 59 inches,4 to 6 hours,7 to 10 hours,Natural gas from underground pipes,70,65,65,No,NA,Yes,Central air conditioning system,20 years or older,70,70,70,Not applicable,Not applicable,No,1,No,Female,68,Not employed/retired,High school diploma or GED,3,0,4,"$60,000 to $79,999",No,2141,Mixed-Humid,2696,2242.215,178.449,0,0,528.48,41.72,0,0,608,743.34,0,0,1271.82,NA
South,South Atlantic,METRO,U,Single-family detached house,No,Not applicable,Yes,No,One story,No,Rented,Before 1950,7,1,0,Siding,Shingles (composition or asphalt),Never,No,NA,1,40 to 59 inches,More than 10 hours,More than 10 hours,Fuel oil/kerosene,72,72,72,No,NA,Yes,Central air conditioning system,10 to 14 years old,72,72,72,Not applicable,No,Not applicable,5,No,Male,69,Not employed/retired,High school diploma or GED,1,0,5,"$40,000 - $59,999",No,1828,Mixed-Humid,3514,11709.85,553.203,0,0,1367.69,64.51,0,0,0,0,0,401.729,2403.07,NA
West,Pacific,METRO,U,Single-family detached house,No,Not applicable,Yes,Yes,One story,Yes,Owned or being bought by someone in your household,1980 to 1989,6,2,0,Stucco,Shingles (composition or asphalt),Never,No,NA,4,40 to 59 inches,4 to 6 hours,4 to 6 hours,Natural gas from underground pipes,78,65,68,Yes,1,Yes,Central air conditioning system,20 years or older,68,85,70,Not applicable,No,No,5,Yes,Male,62,Not employed/retired,Some college or Associate’s degree,4,0,5,"$80,000 to $99,999",No,2567,Hot-Dry/Mixed-Dry,1026,9167.263,192.742,0,0,1212.6,25.44,0,0,641.118,683.96,0,0,1896.56,NA
South,South Atlantic,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,2000 to 2009,1,1,1,Wood,Not applicable,Some of the time,No,NA,1,40 to 59 inches,7 to 10 hours,7 to 10 hours,Electricity,70,70,60,No,NA,Yes,Central air conditioning system,2 to 4 years old,60,75,62,Not applicable,Not applicable,Not applicable,0,No,Male,20,Not employed/retired,High school diploma or GED,1,0,5,"Less than $20,000",No,5039,Hot-Humid,93,12146.645,396.974,0,0,1336.47,43.68,0,0,0,0,0,0,1336.47,NA
Midwest,West North Central,METRO,U,Single-family attached house,Yes,No,No,Not applicable,Two stories,No,Rented,Before 1950,6,1,0,Wood,Shingles (composition or asphalt),All the time,No,NA,1,28 to 39 inches,1 to 3 hours,1 to 3 hours,Natural gas from underground pipes,67,62,62,No,NA,Yes,Individual window/wall or portable units,Not applicable,72,72,68,No,Not applicable,Not applicable,2,Yes,Female,61,Employed part-time,Some college or Associate’s degree,1,0,5,"Less than $20,000",Yes,565,Cold/Very Cold,7109,3237.353,51.898,0,0,546.02,8.75,0,0,887.237,774.24,0,0,1320.26,NA
West,Mountain South,METRO,R,Single-family detached house,No,Not applicable,No,Not applicable,Two stories,No,Owned or being bought by someone in your household,1960 to 1969,6,1,0,Wood,Wood shingles/shakes,Most of the time,No,NA,2,40 to 59 inches,7 to 10 hours,4 to 6 hours,Wood (cordwood or pellets),89,70,80,No,NA,Yes,Individual window/wall or portable units,Not applicable,69,90,70,Not applicable,Not applicable,Not applicable,2,No,Female,28,Not employed/retired,Some college or Associate’s degree,3,3,5,"$60,000 to $79,999",No,1376,Cold/Very Cold,4030,11924,278.096,0,0,1437,33.51,0,0,0,0,94.689,0,1633.56,7
West,Pacific,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1960 to 1969,2,1,0,Stucco,Not applicable,Never,No,NA,1,27 inches or less,1 to 3 hours,1 to 3 hours,Electricity,72,68,55,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,0,No,Male,76,Not employed/retired,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",1,0,1,"Less than $20,000",No,1541,Hot-Dry/Mixed-Dry,2019,8100.964,36.735,0,0,528.26,2.39,0,0,55.083,76,0,0,604.26,NA
Midwest,East North Central,METRO,U,Single-family detached house,Yes,Yes,Yes,Yes,Two stories,No,Owned or being bought by someone in your household,Before 1950,6,1,1,Siding,Shingles (composition or asphalt),Never,No,NA,1,28 to 39 inches,More than 10 hours,1 to 3 hours,Natural gas from underground pipes,67,67,60,Yes,0,Yes,Central air conditioning system,10 to 14 years old,50,50,50,No,No,Not applicable,2,No,Female,67,Employed full-time,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",1,0,0,"$20,000 - $39,999",No,769,Cold/Very Cold,6055,2820.145,479.335,0,0,276.17,46.94,0,0,890.378,788.97,0,0,1065.14,NA
Midwest,East North Central,METRO,C,Single-family detached house,Yes,Yes,Yes,No,One story,Yes,Owned or being bought by someone in your household,1950 to 1959,8,2,0,Siding,Shingles (composition or asphalt),Never,No,NA,4,40 to 59 inches,More than 10 hours,More than 10 hours,Natural gas from underground pipes,72,60,62,No,NA,Yes,Both a central system and individual units,Less than 2 years old,75,75,68,Yes,No,No,2,No,Male,75,Not employed/retired,High school diploma or GED,3,1,5,"$80,000 to $99,999",No,620,Cold/Very Cold,6800,7689.609,517.329,0,0,1005.97,67.52,0,0,650.519,521.92,0,0,1527.89,NA
Northeast,Middle Atlantic,METRO,U,Single-family detached house,Yes,No,Yes,No,Two stories,No,Owned or being bought by someone in your household,Before 1950,7,1,2,Brick,Shingles (composition or asphalt),Some of the time,No,NA,1,28 to 39 inches,4 to 6 hours,7 to 10 hours,Natural gas from underground pipes,69,69,69,No,NA,Yes,Central air conditioning system,20 years or older,65,78,78,Yes,No,Not applicable,4,No,Male,57,Employed full-time,Some college or Associate’s degree,3,0,5,"$140,000 or more",No,903,Cold/Very Cold,5250,7864.04,129.451,0,0,1568.73,25.76,0,0,1141.89,1848.1,0,0,3416.83,NA
West,Pacific,MICRO,C,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Owned or being bought by someone in your household,1950 to 1959,5,2,0,Shingle (composition),Shingles (composition or asphalt),Some of the time,No,NA,2,40 to 59 inches,4 to 6 hours,4 to 6 hours,Electricity,66,55,60,No,NA,Yes,Individual window/wall or portable units,Not applicable,75,75,75,Not applicable,No,No,0,No,Male,64,Employed full-time,Less than high school diploma or GED,2,0,2,"$40,000 - $59,999",No,1295,Cold/Very Cold,4870,20692.415,234.545,0,0,1133.97,12.85,0,0,0,0,0,0,1133.97,0.5
South,East South Atlantic,MICRO,C,Single-family attached house,No,Not applicable,No,Not applicable,Two stories,No,Rented,1970 to 1979,5,1,1,Concrete or concrete block,Shingles (composition or asphalt),Some of the time,No,NA,3,28 to 39 inches,More than 10 hours,More than 10 hours,Electricity,76,76,69,No,NA,Yes,Central air conditioning system,5 to 9 years old,71,71,65,Not applicable,Not applicable,Not applicable,0,No,Female,25,Employed full-time,Some college or Associate’s degree,1,1,2,"$20,000 - $39,999",No,2231,Mixed-Humid,2069,9543.238,300.117,0,0,1093.1,34.31,0,0,0,0,0,0,1093.1,NA
Northeast,New England,METRO,U,Single-family attached house,No,Not applicable,Yes,No,Two stories,Yes,Owned or being bought by someone in your household,2000 to 2009,5,1,1,Wood,Shingles (composition or asphalt),Never,No,NA,2,27 inches or less,1 to 3 hours,4 to 6 hours,Natural gas from underground pipes,75,75,78,No,NA,Yes,Central air conditioning system,5 to 9 years old,70,74,70,Not applicable,Yes,Yes,0,No,Female,52,Employed full-time,Less than high school diploma or GED,2,2,1,"$20,000 - $39,999",No,1017,Cold/Very Cold,5569,5867.71,46.14,0,0,1157.12,9.1,0,0,788.533,1157.54,0,0,2314.65,NA
West,Pacific,METRO,U,Apartment in a building with 2 to 4 units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1980 to 1989,3,1,0,Wood,Wood shingles/shakes,Never,No,NA,1,27 inches or less,7 to 10 hours,7 to 10 hours,Natural gas from underground pipes,75,75,75,No,NA,Yes,Central air conditioning system,2 to 4 years old,70,70,70,Not applicable,Not applicable,Not applicable,0,No,Female,20,Employed part-time,Some college or Associate’s degree,2,0,5,"$40,000 - $59,999",Yes,1522,Hot-Dry/Mixed-Dry,2093,2483.852,246.926,0,0,355.18,35.06,0,0,208.347,168.78,0,0,523.96,NA
West,Mountain North,METRO,U,Single-family detached house,Yes,No,Yes,No,Two stories,Yes,Rented,2000 to 2009,9,2,1,Concrete or concrete block,Shingles (composition or asphalt),Never,No,NA,3,40 to 59 inches,4 to 6 hours,More than 10 hours,Natural gas from underground pipes,69,67,71,No,NA,Yes,Central air conditioning system,10 to 14 years old,76,78,75,No,No,No,4,No,Male,43,Employed full-time,High school diploma or GED,2,3,5,"$100,000 to $119,999",No,700,Cold/Very Cold,5632,13752.294,291.4,0,0,1744.36,36.96,0,0,1188.864,740.07,0,0,2484.43,NA
South,East South Atlantic,METRO,U,Single-family detached house,Yes,Yes,Yes,No,One story,Yes,Owned or being bought by someone in your household,2000 to 2009,12,3,0,Brick,Shingles (composition or asphalt),Never,Yes,0,3,40 to 59 inches,4 to 6 hours,7 to 10 hours,Electricity,66,66,66,No,NA,Yes,Central air conditioning system,Less than 2 years old,75,75,75,Yes,No,No,3,Yes,Female,61,Not employed/retired,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",2,2,5,"$140,000 or more",No,2008,Mixed-Humid,2340,22732.634,223.695,0,0,2789.91,27.45,0,0,0,0,0,0,2789.91,NA
Northeast,New England,NONE,R,Single-family detached house,No,Not applicable,Yes,No,One story,No,Owned or being bought by someone in your household,1980 to 1989,6,1,0,Siding,Wood shingles/shakes,Most of the time,No,NA,1,40 to 59 inches,7 to 10 hours,More than 10 hours,Fuel oil/kerosene,68,60,60,No,NA,Yes,Individual window/wall or portable units,Not applicable,60,60,60,Not applicable,No,Not applicable,3,No,Male,71,Employed part-time,Less than high school diploma or GED,4,0,3,"$20,000 - $39,999",Yes,427,Cold/Very Cold,7652,12875.97,380.427,0,0,1791.6,52.93,0,0,0,0,0,512.993,3193.2,2
